ID,Gender,Education,Raw_Income,Total_Spend,Avg_Visits,Review_Text,Clean_Income,Spend_per_Visit,Review_Word_Count,Sentiment_Score,User_Segment
1,Male,Bachelors,36000,683.26,6,Just the facts: it is bad (Ref:1-227).,36000.0,113.87666666666667,7,-0.6999999999999998,2
2,Female,Masters,"$107,000",1090.29,22,My experience with this: expensive (Ref:2-467).,107000.0,49.55863636363636,6,-0.5,0
3,Male,Masters,20000,597.91,18,My opinion: it is frustrating (Ref:3-620).,20000.0,33.21722222222222,6,-0.4,2
4,Male,Masters,"$20,000",143.21,5,Just the facts: it is bad (Ref:4-150).,20000.0,28.642000000000003,7,-0.6999999999999998,1
5,Male,Bachelors,"$41,000",486.49,17,I felt it was functional (Ref:5-886).,41000.0,28.617058823529412,6,0.0,2
6,Male,Bachelors,21000,81.12,4,My friends also agree that it is frustrating (Ref:6-580).,21000.0,20.28,9,-0.4,1
7,Male,High School,"$134,000",827.12,20,My friends also agree that it is functional (Ref:7-854).,134000.0,41.356,9,0.0,0
8,Male,Bachelors,"$89,000",856.93,22,Just the facts: it is terrible (Ref:8-754).,89000.0,38.95136363636363,7,-1.0,0
9,Male,High School,"$20,000",871.32,20,"I thought the price was high, and I think it is a normal one (Ref:9-238).",20000.0,43.566,15,0.155,2
10,Female,Bachelors,"$20,000",234.71,5,My opinion: it is frustrating (Ref:10-969).,20000.0,46.942,6,-0.4,1
11,Male,Bachelors,20000,810.79,20,My opinion: it is excellent (Ref:11-242).,20000.0,40.5395,6,1.0,2
12,Female,Bachelors,"$53,000",707.27,17,My experience with this: slow (Ref:12-417).,53000.0,41.60411764705882,6,-0.30000000000000004,2
13,Male,Masters,"$20,000",117.55,4,My friends also agree that it is bad (Ref:13-748).,20000.0,29.3875,9,-0.6999999999999998,1
14,Female,Bachelors,"$20,000",389.06,17,I felt it was average (Ref:14-750).,20000.0,22.885882352941177,6,-0.15,1
15,Male,High School,"$79,000",708.69,24,"This is terrible, you get what you pay for (Ref:15-537).",79000.0,29.528750000000002,10,-1.0,0
16,Female,Bachelors,47000,1117.76,23,I felt it was wonderful (Ref:16-476).,47000.0,48.598260869565216,6,1.0,2
17,Male,Bachelors,29000,936.68,22,My friends also agree that it is expensive (Ref:17-200).,29000.0,42.57636363636363,9,-0.5,2
18,Female,Bachelors,"$134,000",773.85,17,I felt it was functional (Ref:18-624).,134000.0,45.52058823529412,6,0.0,0
19,Male,High School,40000,60.24,2,I felt it was functional (Ref:19-255).,40000.0,30.12,6,0.0,1
20,Male,Bachelors,"$44,000",260.29,5,My opinion: it is expensive (Ref:20-123).,44000.0,52.05800000000001,6,-0.5,1
21,Female,Bachelors,20000,274.77,7,My friends also agree that it is expensive (Ref:21-472).,20000.0,39.25285714285714,9,-0.5,1
22,Other,Bachelors,"$20,000",429.34,8,"I thought the price was high, and I think it is frustrating (Ref:22-299).",20000.0,53.6675,13,-0.12000000000000001,1
23,Male,Bachelors,82000,438.09,6,Just the facts: it is slow (Ref:23-559).,82000.0,73.015,7,-0.30000000000000004,0
24,Female,Masters,"$20,000",359.13,6,"I believe the price is reasonablen, the product: average (Ref:24-669).",20000.0,59.855,10,-0.15,1
25,Female,Bachelors,69000,217.68,7,My friends also agree that it is bad (Ref:25-606).,69000.0,31.09714285714286,9,-0.6999999999999998,1
26,Female,High School,55000,1065.84,22,My friends also agree that it is disappointing (Ref:26-622).,55000.0,48.447272727272725,9,-0.6,2
